Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Microsoft.Azure.KeyVault.Core 1.0.0,,,,,"Microsoft.Azure.KeyVault.Core, 1.0.0  Recommendation:  Microsoft.Azure.KeyVault.Core, 3.0.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Microsoft.Data.Edm 5.8.1,,,,,"Microsoft.Data.Edm, 5.8.1  Recommendation:  Microsoft.Data.Edm, 5.8.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Microsoft.Data.OData 5.8.1,,,,,"Microsoft.Data.OData, 5.8.1  Recommendation:  Microsoft.Data.OData, 5.8.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Microsoft.Data.Services.Client 5.8.1,,,,,"Microsoft.Data.Services.Client, 5.8.1  Recommendation:  Microsoft.Data.Services.Client, 5.8.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Microsoft.ProjectOxford.Face 1.2.1.2,,,,,"Microsoft.ProjectOxford.Face, 1.2.1.2  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Microsoft.WindowsAzure.ConfigurationManager 3.2.3,,,,,"Microsoft.WindowsAzure.ConfigurationManager, 3.2.3  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Newtonsoft.Json 9.0.1,,,,,"Newtonsoft.Json, 9.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,System.Spatial 5.8.1,,,,,"System.Spatial, 5.8.1  Recommendation:  System.Spatial, 5.8.5"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Microsoft.Data.OData 5.8.1,,,,,"Microsoft.Data.OData, 5.8.1  Recommendation:  Microsoft.Data.OData, 5.8.5"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,File,storage-queue-dotnet-popreceipt\storage-queue-dotnet-popreceipt.csproj,,,Newtonsoft.Json 9.0.1,,,,,"Newtonsoft.Json, 9.0.1  Recommendation:  Newtonsoft.Json, 13.0.4"
